PUT /webservice/integration/acessoTotal | tags: Acesso | operationId: acessoTotal
DELETE /webservice/integration/deleteAcesso | tags: Acesso | operationId: deleteAcesso
DELETE /webservice/integration/deleteAcessoAll | tags: Acesso | operationId: deleteAcessoAll
DELETE /webservice/integration/deleteAllPrecoEcommerceMagento | tags: Produto | operationId: deleteAllPrecoEcommerceMagento
DELETE /webservice/integration/deleteAllPrecoEcommerceOnfood | tags: Produto | operationId: deleteAllPrecoEcommerceOnfood
DELETE /webservice/integration/deleteCadTracking | tags: Pedido | operationId: deleteCadTracking
DELETE /webservice/integration/deleteCategoria | tags: Produto | operationId: deleteCategoria
DELETE /webservice/integration/deleteCidadeSankhya | tags: Município | operationId: deleteCidadeSankhya
DELETE /webservice/integration/deleteClienteIntegrado | tags: Customer | operationId: deleteClienteIntegrado
DELETE /webservice/integration/deleteClienteIntegradoOnfood | tags: Customer | operationId: deleteClienteIntegradoOnfood
DELETE /webservice/integration/deleteCustomer | tags: Customer | operationId: deleteCustomer
DELETE /webservice/integration/deleteDadoIntegration | tags: Integration | operationId: deleteDadoIntegration
DELETE /webservice/integration/deleteEstoqueVtex | tags: Produto | operationId: deleteEstoqueVtex
DELETE /webservice/integration/deleteFilialEstoque | tags: Filial | operationId: deleteFilialEstoque
DELETE /webservice/integration/deleteFilialEstoqueAll | tags: Filial | operationId: deleteFilialEstoqueAll
DELETE /webservice/integration/deleteFilialGestao | tags: Filial | operationId: deleteFilialGestao
DELETE /webservice/integration/deleteFilialLopes | tags: Filial | operationId: deleteFilialLopes
DELETE /webservice/integration/deleteFilialSankhya | tags: Filial | operationId: deleteFilialSankhya
DELETE /webservice/integration/deleteFilialTiny | tags: Filial | operationId: deleteFilialTiny
DELETE /webservice/integration/deleteFilialUpSoftware | tags: Filial | operationId: deleteFilialUpSoftware
DELETE /webservice/integration/deleteFilialWinthor | tags: Filial | operationId: deleteFilialWinthor
DELETE /webservice/integration/deleteHistoricoTracking | tags: Pedido | operationId: deleteHistoricoTracking
DELETE /webservice/integration/deleteImagenProdutoLoja | tags: Produto | operationId: deleteImagenProdutoLoja
DELETE /webservice/integration/deleteIntegradora | tags: Integradora | operationId: deleteIntegradora
DELETE /webservice/integration/deleteIntegration | tags: Integration | operationId: deleteIntegration
DELETE /webservice/integration/deleteListProdutosPresta | tags: Produto | operationId: deleteListProdutosPresta
DELETE /webservice/integration/deleteListaProdutosPresta | tags: Produto | operationId: deleteListaProdutosPresta
DELETE /webservice/integration/deleteLog | tags: Log | operationId: deleteLog
DELETE /webservice/integration/deleteLogB2b | tags: Log | operationId: deleteLogB2b
DELETE /webservice/integration/deleteNota | tags: Nota Fiscal | operationId: deleteNota
DELETE /webservice/integration/deletePagamento | tags: Pagamento | operationId: deletePagamento
DELETE /webservice/integration/deleteParametro | tags: servidor-b-2b | operationId: deleteParametro
DELETE /webservice/integration/deletePedidoIfc | tags: Order | operationId: deletePedidoIfc
DELETE /webservice/integration/deletePedidoIntegrado | tags: Pedido | operationId: deletePedidoIntegrado
DELETE /webservice/integration/deletePracaWinthor | tags: Praça | operationId: DeleteracaWinthor
DELETE /webservice/integration/deletePrecoEcommerceAllPresta | tags: Produto | operationId: deletePrecoEcommerceAllPresta
DELETE /webservice/integration/deletePrecoEcommerceMagento | tags: Produto | operationId: deletePrecoEcommerceMagento
DELETE /webservice/integration/deletePrecoEcommerceOnfood | tags: Produto | operationId: deletePrecoEcommerceOnfood
DELETE /webservice/integration/deletePrecoEcommercePresta | tags: Produto | operationId: deletePrecoEcommercePresta
DELETE /webservice/integration/deletePrecoPromocao | tags: Produto | operationId: deletePrecoPromocao
DELETE /webservice/integration/deleteProdutoPresta | tags: Produto | operationId: deleteProdutoPresta
DELETE /webservice/integration/deleteProdutos | tags: Produto | operationId: deleteProdutos
DELETE /webservice/integration/deleteProdutosLoja | tags: Produto | operationId: deleteProdutosLoja
DELETE /webservice/integration/deleteProdutosOnfood | tags: Produto | operationId: deleteProdutosOnfood
DELETE /webservice/integration/deleteTabelaPreco | tags: Tabela Preço | operationId: deleteTabelaPreco
DELETE /webservice/integration/deleteTabelaPrecoEstado | tags: Tabela Preço | operationId: deleteTabelaPrecoEstado
DELETE /webservice/integration/deleteTabelaPrecoOnfood | tags: Tabela Preço | operationId: deleteTabelaPrecoOnfood
DELETE /webservice/integration/deleteTipoPreco | tags: Tabela Preço | operationId: deleteTipoPreco
DELETE /webservice/integration/deleteTodosLog | tags: Log | operationId: deleteTodosLog
DELETE /webservice/integration/deleteTransporte | tags: Transporte | operationId: deleteTransporte
DELETE /webservice/integration/deleteVinculoCatMercadoLivre | tags: Produto | operationId: deleteVinculoCatMercadoLivre
DELETE /webservice/integration/deleteVinculoCategoriaProdutoLoja | tags: Produto | operationId: deleteVinculoCategoriaProdutoLoja
POST /webservice/integration/gerarPrecoEcommerce | tags: Lista de Preço | operationId: gerarPrecoEcommerce
POST /webservice/integration/gerarPrecoEcommerceOnfood | tags: Lista de Preço | operationId: gerarPrecoEcommerceOnfood
GET /webservice/integration/getCategoria | tags: Produto | operationId: getCategoria
GET /webservice/integration/getCidade | tags: Município | operationId: getCidade
GET /webservice/integration/getCidadeSankhya | tags: Município | operationId: getCidadeSankhya
GET /webservice/integration/getClienteIntegrado | tags: Customer | operationId: getClienteIntegrado
GET /webservice/integration/getClienteIntegradoOnfood | tags: Customer | operationId: getClienteIntegradoOnfood
GET /webservice/integration/getCustomer | tags: Customer | operationId: getCustomer
GET /webservice/integration/getDadoIntegration | tags: Operation | operationId: getDadoIntegration
GET /webservice/integration/getFilialGestao | tags: Filial | operationId: getFilialGestao
GET /webservice/integration/getFilialLopes | tags: Filial | operationId: getFilialLopes
GET /webservice/integration/getFilialSankhya | tags: Filial | operationId: getFilialSankhya
GET /webservice/integration/getFilialTiny | tags: Filial | operationId: getFilialTiny
GET /webservice/integration/getFilialUpSoftware | tags: Filial | operationId: getFilialUpSoftware
GET /webservice/integration/getFilialWinthor | tags: Filial | operationId: getFilialWinthor
GET /webservice/integration/getIntegradora | tags: Integradora | operationId: getIntegradora
GET /webservice/integration/getListAcesso | tags: Acesso | operationId: getListAcesso
GET /webservice/integration/getListAtalhoRotina | tags: Rotina | operationId: getListAtalhoRotina
GET /webservice/integration/getListCadTracking | tags: Pedido | operationId: getListCadTracking
GET /webservice/integration/getListCategoria | tags: Produto | operationId: getListCategoria
GET /webservice/integration/getListCidade | tags: Município | operationId: getListCidade
GET /webservice/integration/getListCidadeSankhya | tags: Município | operationId: getListCidadeSankhya
GET /webservice/integration/getListClienteIntegrado | tags: Customer | operationId: getListClienteIntegrado
GET /webservice/integration/getListClienteIntegradoOnfood | tags: Customer | operationId: getListClienteIntegradoOnfood
GET /webservice/integration/getListCustomer | tags: Customer | operationId: getListCustomer
GET /webservice/integration/getListDadoIntegration | tags: Operation | operationId: getListDadoIntegration
GET /webservice/integration/getListEstoqueVtex | tags: Produto | operationId: getListEstoqueVtex
GET /webservice/integration/getListFiliaLopes | tags: Filial | operationId: getListFiliaLopes
GET /webservice/integration/getListFiliaUpSoftware | tags: Filial | operationId: getListFiliaUpSoftware
GET /webservice/integration/getListFilialEstoque | tags: Filial | operationId: getListFilialEstoque
GET /webservice/integration/getListFilialGestao | tags: Filial | operationId: getListFilialGestao
GET /webservice/integration/getListFilialSankhya | tags: Filial | operationId: getListFilialSankhya
GET /webservice/integration/getListFilialTiny | tags: Filial | operationId: getListFilialTiny
GET /webservice/integration/getListFilialWinthor | tags: Filial | operationId: getListFilialWinthor
GET /webservice/integration/getListHistoricoTracking | tags: Pedido | operationId: getListHistoricoTracking
GET /webservice/integration/getListIntegradora | tags: Integradora | operationId: getListIntegradora
GET /webservice/integration/getListIntegradoraWs | tags: Integradora | operationId: getListIntegradoraWs
GET /webservice/integration/getListIntegration | tags: Integration | operationId: getListIntegration
GET /webservice/integration/getListLog | tags: Log | operationId: getListLog
GET /webservice/integration/getListLogB2b | tags: Log | operationId: getListLogB2b
GET /webservice/integration/getListLogB2bOnfood | tags: Log | operationId: getListLogB2bOnfood
GET /webservice/integration/getListNota | tags: Nota Fiscal | operationId: getListNota
GET /webservice/integration/getListPagamento | tags: Pagamento | operationId: getListPagamento
GET /webservice/integration/getListPagamentoProcesso | tags: Pagamento | operationId: getListPagamentoProcesso
GET /webservice/integration/getListPagamentoRecebimentoOrder | tags: Pagamento | operationId: getListPagamentoRecebimentoOrder
GET /webservice/integration/getListParametro | tags: Integradora | operationId: getListParametro
GET /webservice/integration/getListPedidoIfc | tags: Order | operationId: getListPedidoIfc
GET /webservice/integration/getListPedidoIntegrado | tags: Pedido | operationId: getListPedidoIntegrado
GET /webservice/integration/getListPedidoIntegradoSimples | tags: Pedido | operationId: getListPedidoIntegradoSimples
GET /webservice/integration/getListPedidoNaoIntegrado | tags: Pedido | operationId: getListPedidoNaoIntegrado
GET /webservice/integration/getListPedidoPagamento | tags: PedidoPagamento | operationId: getListPedidoPagamento
GET /webservice/integration/getListPlanoPagCli | tags: Plano Pagamento | operationId: getListPlanoPagCli
GET /webservice/integration/getListPracaWinthor | tags: Praça | operationId: getListPracaWinthor
GET /webservice/integration/getListPreco | tags: Produto | operationId: getListPreco
GET /webservice/integration/getListPrecoMagento | tags: Produto | operationId: getListPrecoMagento
GET /webservice/integration/getListPrecoOnfood | tags: Produto | operationId: getListPrecoOnfood
GET /webservice/integration/getListPrecoPresta | tags: Produto | operationId: getListPrecoPresta
GET /webservice/integration/getListPrecoPromo | tags: Produto | operationId: getListPrecoPromo
GET /webservice/integration/getListProduto | tags: Produto | operationId: getListProduto
GET /webservice/integration/getListProdutoLoja | tags: Produto | operationId: getListProdutoLoja
GET /webservice/integration/getListProdutoOnfood | tags: Produto | operationId: getListProdutoOnfood
GET /webservice/integration/getListProdutoPresta | tags: Produto | operationId: getListProdutoPresta
GET /webservice/integration/getListRotina | tags: Rotina | operationId: getListRotina
GET /webservice/integration/getListTabelaPreco | tags: Tabela Preço | operationId: getListTabelaPreco
POST /webservice/integration/getListTabelaPrecoEstado | tags: Tabela Preço | operationId: getListTabelaPrecoEstado
GET /webservice/integration/getListTabelaPrecoOnfood | tags: Tabela PreOnfood | operationId: getListTabelaPrecoOnfood
GET /webservice/integration/getListTipoPreco | tags: Tabela Preço | operationId: getListTipoPreco
GET /webservice/integration/getListTipoPrecoOnfood | tags: Tabela Preço | operationId: getListTipoPrecoOnfood
GET /webservice/integration/getListTransporte | tags: Transporte | operationId: getListTransporte
GET /webservice/integration/getListVinculoCatMercadoLivre | tags: Produto | operationId: getListVinculoCatMercadoLivre
